Area,Age,Year,Male,Female
TOT,999,2014,20672,18850
TOT,0,2014,220,152
TOT,1,2014,21,14
TOT,2,2014,13,9
TOT,3,2014,7,8
TOT,4,2014,3,6
TOT,5,2014,2,4
TOT,6,2014,5,2
TOT,7,2014,5,1
TOT,8,2014,4,2
TOT,9,2014,7,5
TOT,10,2014,4,4
TOT,11,2014,6,4
TOT,12,2014,3,5
TOT,13,2014,8,5
TOT,14,2014,11,6
TOT,15,2014,13,5
TOT,16,2014,13,2
TOT,17,2014,19,10
TOT,18,2014,12,6
TOT,19,2014,26,3
TOT,20,2014,22,9
TOT,21,2014,32,10
TOT,22,2014,27,12
TOT,23,2014,32,11
TOT,24,2014,22,14
TOT,25,2014,37,7
TOT,26,2014,52,14
TOT,27,2014,58,15
TOT,28,2014,55,12
TOT,29,2014,55,23
TOT,30,2014,59,13
TOT,31,2014,61,26
TOT,32,2014,75,23
TOT,33,2014,58,22
TOT,34,2014,80,22
TOT,35,2014,92,23
TOT,36,2014,83,37
TOT,37,2014,100,32
TOT,38,2014,114,41
TOT,39,2014,126,46
TOT,40,2014,119,60
TOT,41,2014,104,51
TOT,42,2014,161,43
TOT,43,2014,127,59
TOT,44,2014,159,69
TOT,45,2014,169,58
TOT,46,2014,190,74
TOT,47,2014,194,88
TOT,48,2014,230,82
TOT,49,2014,250,98
TOT,50,2014,278,109
TOT,51,2014,308,122
TOT,52,2014,356,137
TOT,53,2014,388,162
TOT,54,2014,432,175
TOT,55,2014,415,213
TOT,56,2014,460,209
TOT,57,2014,479,244
TOT,58,2014,502,250
TOT,59,2014,484,259
TOT,60,2014,542,248
TOT,61,2014,512,278
TOT,62,2014,559,313
TOT,63,2014,679,373
TOT,64,2014,653,407
TOT,65,2014,723,426
TOT,66,2014,424,293
TOT,67,2014,354,287
TOT,68,2014,254,192
TOT,69,2014,270,245
TOT,70,2014,358,328
TOT,71,2014,414,407
TOT,72,2014,559,565
TOT,73,2014,476,546
TOT,74,2014,532,553
TOT,75,2014,488,618
TOT,76,2014,491,606
TOT,77,2014,438,665
TOT,78,2014,504,693
TOT,79,2014,472,689
TOT,80,2014,396,634
TOT,81,2014,418,635
TOT,82,2014,387,661
TOT,83,2014,414,706
TOT,84,2014,339,645
TOT,85,2014,329,661
TOT,86,2014,299,570
TOT,87,2014,196,520
TOT,88,2014,150,384
TOT,89,2014,128,346
TOT,90,2014,107,276
TOT,91,2014,102,246
TOT,92,2014,74,208
TOT,93,2014,62,141
TOT,94,2014,35,78
TOT,95,2014,32,66
TOT,96,2014,9,34
TOT,97,2014,6,17
TOT,98,2014,6,23
TOT,99,2014,0,12
TOT,100,2014,8,19
TOT,999,2015,20920,18880
TOT,0,2015,217,147
TOT,1,2015,19,8
TOT,2,2015,15,5
TOT,3,2015,7,3
TOT,4,2015,9,7
TOT,5,2015,6,2
TOT,6,2015,1,5
TOT,7,2015,2,5
TOT,8,2015,6,1
TOT,9,2015,3,1
TOT,10,2015,3,4
TOT,11,2015,6,3
TOT,12,2015,5,4
TOT,13,2015,5,4
TOT,14,2015,9,4
TOT,15,2015,10,8
TOT,16,2015,14,6
TOT,17,2015,12,2
TOT,18,2015,14,6
TOT,19,2015,17,2
TOT,20,2015,21,10
TOT,21,2015,23,4
TOT,22,2015,31,11
TOT,23,2015,28,7
TOT,24,2015,44,13
TOT,25,2015,38,8
TOT,26,2015,46,13
TOT,27,2015,45,21
TOT,28,2015,52,17
TOT,29,2015,40,23
TOT,30,2015,51,15
TOT,31,2015,70,20
TOT,32,2015,72,27
TOT,33,2015,79,26
TOT,34,2015,69,28
TOT,35,2015,85,35
TOT,36,2015,87,35
TOT,37,2015,92,37
TOT,38,2015,98,45
TOT,39,2015,102,43
TOT,40,2015,137,45
TOT,41,2015,129,39
TOT,42,2015,150,47
TOT,43,2015,153,73
TOT,44,2015,155,45
TOT,45,2015,182,70
TOT,46,2015,206,63
TOT,47,2015,213,66
TOT,48,2015,199,101
TOT,49,2015,265,89
TOT,50,2015,257,101
TOT,51,2015,313,122
TOT,52,2015,315,170
TOT,53,2015,394,143
TOT,54,2015,381,195
TOT,55,2015,438,190
TOT,56,2015,466,242
TOT,57,2015,517,246
TOT,58,2015,528,251
TOT,59,2015,492,275
TOT,60,2015,525,286
TOT,61,2015,514,301
TOT,62,2015,579,306
TOT,63,2015,659,341
TOT,64,2015,684,413
TOT,65,2015,689,452
TOT,66,2015,721,482
TOT,67,2015,410,289
TOT,68,2015,357,287
TOT,69,2015,259,237
TOT,70,2015,268,264
TOT,71,2015,377,348
TOT,72,2015,441,431
TOT,73,2015,584,596
TOT,74,2015,480,472
TOT,75,2015,479,517
TOT,76,2015,452,574
TOT,77,2015,509,591
TOT,78,2015,460,670
TOT,79,2015,452,653
TOT,80,2015,449,710
TOT,81,2015,411,635
TOT,82,2015,373,689
TOT,83,2015,393,658
TOT,84,2015,347,633
TOT,85,2015,312,601
TOT,86,2015,288,579
TOT,87,2015,260,526
TOT,88,2015,170,460
TOT,89,2015,110,380
TOT,90,2015,108,300
TOT,91,2015,109,262
TOT,92,2015,75,237
TOT,93,2015,47,159
TOT,94,2015,34,103
TOT,95,2015,29,64
TOT,96,2015,18,48
TOT,97,2015,5,25
TOT,98,2015,2,10
TOT,99,2015,4,11
TOT,100,2015,5,35
TOT,999,2016,20338,18074
TOT,0,2016,208,145
TOT,1,2016,16,11
TOT,2,2016,13,10
TOT,3,2016,7,12
TOT,4,2016,10,7
TOT,5,2016,7,5
TOT,6,2016,7,6
TOT,7,2016,6,5
TOT,8,2016,5,5
TOT,9,2016,8,5
TOT,10,2016,4,3
TOT,11,2016,4,2
TOT,12,2016,5,6
TOT,13,2016,6,3
TOT,14,2016,3,6
TOT,15,2016,13,4
TOT,16,2016,8,6
TOT,17,2016,11,3
TOT,18,2016,15,8
TOT,19,2016,17,6
TOT,20,2016,22,5
TOT,21,2016,24,7
TOT,22,2016,26,10
TOT,23,2016,33,9
TOT,24,2016,30,8
TOT,25,2016,33,10
TOT,26,2016,44,12
TOT,27,2016,49,7
TOT,28,2016,55,21
TOT,29,2016,52,13
TOT,30,2016,47,22
TOT,31,2016,62,25
TOT,32,2016,53,29
TOT,33,2016,63,26
TOT,34,2016,77,25
TOT,35,2016,86,32
TOT,36,2016,94,28
TOT,37,2016,60,35
TOT,38,2016,91,46
TOT,39,2016,138,27
TOT,40,2016,118,42
TOT,41,2016,141,39
TOT,42,2016,140,37
TOT,43,2016,151,61
TOT,44,2016,145,56
TOT,45,2016,154,67
TOT,46,2016,177,55
TOT,47,2016,167,61
TOT,48,2016,191,75
TOT,49,2016,217,85
TOT,50,2016,255,91
TOT,51,2016,284,82
TOT,52,2016,293,113
TOT,53,2016,309,136
TOT,54,2016,389,151
TOT,55,2016,426,197
TOT,56,2016,437,210
TOT,57,2016,493,252
TOT,58,2016,536,243
TOT,59,2016,482,256
TOT,60,2016,516,254
TOT,61,2016,539,294
TOT,62,2016,578,316
TOT,63,2016,587,330
TOT,64,2016,600,374
TOT,65,2016,644,421
TOT,66,2016,640,456
TOT,67,2016,696,508
TOT,68,2016,378,286
TOT,69,2016,395,327
TOT,70,2016,288,204
TOT,71,2016,299,257
TOT,72,2016,398,396
TOT,73,2016,410,447
TOT,74,2016,541,592
TOT,75,2016,454,534
TOT,76,2016,455,540
TOT,77,2016,464,579
TOT,78,2016,448,647
TOT,79,2016,447,653
TOT,80,2016,389,642
TOT,81,2016,411,646
TOT,82,2016,370,547
TOT,83,2016,339,610
TOT,84,2016,323,584
TOT,85,2016,312,576
TOT,86,2016,340,535
TOT,87,2016,245,504
TOT,88,2016,213,457
TOT,89,2016,149,358
TOT,90,2016,114,307
TOT,91,2016,83,232
TOT,92,2016,67,198
TOT,93,2016,47,157
TOT,94,2016,39,128
TOT,95,2016,33,79
TOT,96,2016,19,49
TOT,97,2016,11,35
TOT,98,2016,6,15
TOT,99,2016,4,9
TOT,100,2016,8,25
TOT,999,2017,19244,17535
TOT,0,2017,187,147
TOT,1,2017,7,11
TOT,2,2017,3,10
TOT,3,2017,8,6
TOT,4,2017,8,2
TOT,5,2017,3,3
TOT,6,2017,2,5
TOT,7,2017,8,6
TOT,8,2017,6,2
TOT,9,2017,1,3
TOT,10,2017,5,1
TOT,11,2017,4,5
TOT,12,2017,3,3
TOT,13,2017,7,2
TOT,14,2017,9,7
TOT,15,2017,10,6
TOT,16,2017,8,1
TOT,17,2017,12,4
TOT,18,2017,13,8
TOT,19,2017,9,4
TOT,20,2017,20,6
TOT,21,2017,26,2
TOT,22,2017,24,3
TOT,23,2017,29,5
TOT,24,2017,21,6
TOT,25,2017,31,14
TOT,26,2017,44,9
TOT,27,2017,39,14
TOT,28,2017,50,9
TOT,29,2017,49,16
TOT,30,2017,51,7
TOT,31,2017,67,24
TOT,32,2017,59,21
TOT,33,2017,63,14
TOT,34,2017,64,30
TOT,35,2017,79,19
TOT,36,2017,72,29
TOT,37,2017,78,35
TOT,38,2017,92,23
TOT,39,2017,106,34
TOT,40,2017,97,33
TOT,41,2017,96,50
TOT,42,2017,108,52
