Area,Code,Age,Year,Deaths
TOT,MD.MD,999,2014,39522
Chisinau,MD.CV,999,2014,6295
Balti,MD.BT,999,2014,1331
Briceni,MD.BR,999,2014,1130
Donduseni,MD.DO,999,2014,777
Drochia,MD.DR,999,2014,1220
Edinet,MD.ED,999,2014,1198
Falesti,MD.FA,999,2014,1129
Floresti,MD.FL,999,2014,1256
Glodeni,MD.GL,999,2014,774
Ocnita,MD.OC,999,2014,813
Riscani,MD.RS,999,2014,920
Singerei,MD.SI,999,2014,1063
Soroca,MD.SO,999,2014,1274
Anenii Noi,MD.AN,999,2014,858
Calarasi,MD.CA,999,2014,1029
Criuleni,MD.CR,999,2014,830
Dubasari,MD.DB,999,2014,379
Hincesti,MD.HI,999,2014,1409
Ialoveni,MD.IA,999,2014,1025
Nisporeni,MD.NI,999,2014,790
Orhei,MD.OH,999,2014,1508
Rezina,MD.RZ,999,2014,671
Straseni,MD.ST,999,2014,1068
Soldanesti,MD.SD,999,2014,619
Telenesti,MD.TE,999,2014,856
Ungheni,MD.UG,999,2014,1238
Basarabeasca,MD.BA,999,2014,291
Cahul,MD.CH,999,2014,1331
Cantemir,MD.CN,999,2014,693
Causeni,MD.CU,999,2014,1109
Cimislia,MD.CS,999,2014,758
Leova,MD.LE,999,2014,635
Stefan Voda,MD.SV,999,2014,895
Taraclia,MD.TA,999,2014,538
Gagauzia,MD.GA,999,2014,1812
TOT,MD.MD,999,2015,39800
Chisinau,MD.CV,999,2015,6442
Balti,MD.BT,999,2015,1353
Briceni,MD.BR,999,2015,1104
Donduseni,MD.DO,999,2015,704
Drochia,MD.DR,999,2015,1266
Edinet,MD.ED,999,2015,1180
Falesti,MD.FA,999,2015,1175
Floresti,MD.FL,999,2015,1252
Glodeni,MD.GL,999,2015,839
Ocnita,MD.OC,999,2015,765
Riscani,MD.RS,999,2015,982
Singerei,MD.SI,999,2015,1053
Soroca,MD.SO,999,2015,1296
Anenii Noi,MD.AN,999,2015,927
Calarasi,MD.CA,999,2015,1004
Criuleni,MD.CR,999,2015,878
Dubasari,MD.DB,999,2015,359
Hincesti,MD.HI,999,2015,1471
Ialoveni,MD.IA,999,2015,1027
Nisporeni,MD.NI,999,2015,852
Orhei,MD.OH,999,2015,1592
Rezina,MD.RZ,999,2015,672
Straseni,MD.ST,999,2015,1037
Soldanesti,MD.SD,999,2015,587
Telenesti,MD.TE,999,2015,910
Ungheni,MD.UG,999,2015,1310
Basarabeasca,MD.BA,999,2015,359
Cahul,MD.CH,999,2015,1252
Cantemir,MD.CN,999,2015,660
Causeni,MD.CU,999,2015,1045
Cimislia,MD.CS,999,2015,732
Leova,MD.LE,999,2015,667
Stefan Voda,MD.SV,999,2015,844
Taraclia,MD.TA,999,2015,520
Gagauzia,MD.GA,999,2015,1684
TOT,MD.MD,999,2016,38412
Chisinau,MD.CV,999,2016,6325
Balti,MD.BT,999,2016,1290
Briceni,MD.BR,999,2016,1038
Donduseni,MD.DO,999,2016,701
Drochia,MD.DR,999,2016,1204
Edinet,MD.ED,999,2016,1115
Falesti,MD.FA,999,2016,1156
Floresti,MD.FL,999,2016,1216
Glodeni,MD.GL,999,2016,742
