Area,Year,Age,Male,Female
TOT,2014,999,1375786,1493516
TOT,2014,0,19484,18494
TOT,2014,1,19349,18304
TOT,2014,2,18597,17713
TOT,2014,3,19348,18396
TOT,2014,4,19590,18272
TOT,2014,5,18262,17592
TOT,2014,6,18149,17034
TOT,2014,7,17203,16060
TOT,2014,8,16699,15968
TOT,2014,9,16626,15784
TOT,2014,10,15728,14780
TOT,2014,11,16055,14906
TOT,2014,12,15515,14579
TOT,2014,13,16779,15718
TOT,2014,14,16365,15702
TOT,2014,15,17625,16520
TOT,2014,16,18536,17652
TOT,2014,17,19968,19532
TOT,2014,18,20877,20264
TOT,2014,19,22279,22060
TOT,2014,20,22298,22575
TOT,2014,21,23209,23648
TOT,2014,22,22884,22963
TOT,2014,23,24171,23966
TOT,2014,24,25050,24518
TOT,2014,25,25415,25366
TOT,2014,26,25709,25155
TOT,2014,27,26089,25686
TOT,2014,28,24648,24324
TOT,2014,29,23844,23211
TOT,2014,30,23623,23458
TOT,2014,31,21437,21488
TOT,2014,32,20702,20810
TOT,2014,33,20406,20885
TOT,2014,34,19885,19910
TOT,2014,35,19094,19691
TOT,2014,36,18246,18340
TOT,2014,37,19044,18976
TOT,2014,38,18836,19034
TOT,2014,39,18436,18687
TOT,2014,40,17904,18519
TOT,2014,41,18383,18712
TOT,2014,42,17420,17631
TOT,2014,43,17163,17247
TOT,2014,44,16463,16677
TOT,2014,45,17032,17773
TOT,2014,46,17080,17775
TOT,2014,47,16969,17703
TOT,2014,48,16673,17639
TOT,2014,49,18089,19019
TOT,2014,50,18867,20516
TOT,2014,51,19324,21055
TOT,2014,52,20608,22309
TOT,2014,53,21453,23713
TOT,2014,54,21270,24293
TOT,2014,55,20757,23322
TOT,2014,56,19847,22756
TOT,2014,57,18662,22249
TOT,2014,58,17880,21269
TOT,2014,59,18063,22031
TOT,2014,60,16340,20339
TOT,2014,61,16448,20611
TOT,2014,62,17308,21617
TOT,2014,63,16710,21756
TOT,2014,64,16810,22192
TOT,2014,65,12600,17043
TOT,2014,66,8001,11168
TOT,2014,67,7015,10297
TOT,2014,68,4613,6893
TOT,2014,69,5946,9019
TOT,2014,70,6671,10160
TOT,2014,71,7575,11957
TOT,2014,72,8592,13377
TOT,2014,73,6058,10103
TOT,2014,74,5684,9933
TOT,2014,75,5598,10215
TOT,2014,76,5380,9712
TOT,2014,77,4843,9206
TOT,2014,78,4422,8141
TOT,2014,79,3881,7325
TOT,2014,80,3002,5769
TOT,2014,81,3162,6542
TOT,2014,82,2472,4713
TOT,2014,83,2496,5310
TOT,2014,84,1818,3823
TOT,2014,85,6374,16066
TOT,2015,999,1368347,1477980
TOT,2015,0,20713,19535
TOT,2015,1,19121,18197
TOT,2015,2,18973,17898
TOT,2015,3,18193,17376
TOT,2015,4,18906,17981
TOT,2015,5,19147,17892
TOT,2015,6,17899,17183
TOT,2015,7,17777,16718
TOT,2015,8,16913,15740
TOT,2015,9,16405,15698
TOT,2015,10,16313,15474
TOT,2015,11,15403,14508
TOT,2015,12,15780,14598
TOT,2015,13,15235,14350
TOT,2015,14,16533,15408
TOT,2015,15,16107,15441
TOT,2015,16,17111,16039
TOT,2015,17,18172,17342
TOT,2015,18,19554,19034
TOT,2015,19,19938,19306
TOT,2015,20,21437,21220
TOT,2015,21,21886,21959
TOT,2015,22,22776,22870
TOT,2015,23,22489,22187
TOT,2015,24,23799,23255
TOT,2015,25,24698,23826
TOT,2015,26,25029,24712
TOT,2015,27,25315,24616
TOT,2015,28,25919,25093
TOT,2015,29,24506,23908
TOT,2015,30,23609,22844
TOT,2015,31,23398,23072
TOT,2015,32,21381,21198
TOT,2015,33,20684,20579
TOT,2015,34,20369,20534
TOT,2015,35,19734,19689
TOT,2015,36,19058,19488
TOT,2015,37,18153,18090
TOT,2015,38,18886,18723
TOT,2015,39,18865,18811
TOT,2015,40,18432,18475
TOT,2015,41,17861,18273
TOT,2015,42,18317,18531
TOT,2015,43,17398,17479
TOT,2015,44,17178,17076
TOT,2015,45,16445,16611
TOT,2015,46,17055,17656
TOT,2015,47,17003,17728
TOT,2015,48,16930,17601
TOT,2015,49,16565,17590
TOT,2015,50,18027,18908
TOT,2015,51,18712,20429
TOT,2015,52,19200,20910
TOT,2015,53,20392,22183
TOT,2015,54,21208,23546
TOT,2015,55,21071,24151
TOT,2015,56,20397,23183
TOT,2015,57,19531,22669
TOT,2015,58,18285,21954
TOT,2015,59,17469,21062
TOT,2015,60,17635,21822
TOT,2015,61,15893,20112
TOT,2015,62,16036,20329
TOT,2015,63,16670,21339
TOT,2015,64,16116,21393
TOT,2015,65,16100,21785
TOT,2015,66,12018,16660
TOT,2015,67,7638,10897
TOT,2015,68,6717,10054
TOT,2015,69,4392,6672
TOT,2015,70,5621,8755
TOT,2015,71,6250,9780
TOT,2015,72,7116,11428
