Area,Code,Age,Interval,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023
TOT,MD.MD,999,.,2869302,2846327,2825628,2780744,2729634,2684772,2643675,2626588,2565030,2512758
TOT,MD.MD,0,5,187547,186893,187667,188573,185525,178449,167174,157782,145402,134913
TOT,MD.MD,5,5,169377,171372,172788,172436,171004,168163,166320,167122,167625,164081
TOT,MD.MD,10,5,156127,153602,151042,151626,153032,154175,155068,156580,155833,154250
TOT,MD.MD,15,5,195313,178044,166225,153307,144779,139531,137739,136437,134629,135043
TOT,MD.MD,20,5,235282,223878,210863,194881,174968,157612,142903,136485,122813,112784
TOT,MD.MD,25,5,249447,247622,241672,226158,211748,198315,186458,176554,163548,147409
TOT,MD.MD,30,5,212604,217668,222412,225389,225019,221787,217539,213973,200604,189868
TOT,MD.MD,35,5,188384,189497,191433,190715,191679,194597,197304,202055,205941,206990
TOT,MD.MD,40,5,176119,179020,181563,180428,175649,174906,174686,176594,175860,177937
TOT,MD.MD,45,5,175752,171184,170809,168639,167372,166578,168149,170453,169323,164960
TOT,MD.MD,50,5,213408,203515,191982,181826,174351,168450,163033,163083,160466,160021
TOT,MD.MD,55,5,206836,209772,213552,212987,208807,202676,193004,182398,173017,166225
TOT,MD.MD,60,5,190131,187345,184493,182911,185115,189941,193305,198151,197578,194773
TOT,MD.MD,65,5,92595,112933,134925,150577,162897,165602,163671,161417,159797,162883
TOT,MD.MD,70,5,90110,84788,76611,69498,66959,75972,93468,111352,122616,132417
TOT,MD.MD,75,+,130270,129194,127591,130793,130730,128018,123854,116152,109978,108204
Chisinau,MD.CV,999,.,675967,673506,668484,663240,658186,657157,661798,669758,671667,672967
Chisinau,MD.CV,0,5,42845,42652,42192,42528,41752,40760,39864,39375,37873,36419
Chisinau,MD.CV,5,5,36618,38949,40778,41958,42847,42935,43307,43770,44659,43976
Chisinau,MD.CV,10,5,25452,26553,27772,30029,32860,36231,39122,41874,43626,44769
Chisinau,MD.CV,15,5,40670,33662,28931,25273,23095,22820,24638,26726,29166,32227
Chisinau,MD.CV,20,5,64609,60477,54742,48452,41253,34391,28453,25339,22190,20108
Chisinau,MD.CV,25,5,74247,73580,71044,67279,63818,60443,57783,54220,49714,43597
Chisinau,MD.CV,30,5,64793,67286,68689,70340,71611,71714,72247,72183,70518,68739
Chisinau,MD.CV,35,5,51920,53065,54751,56485,58601,62099,65366,68647,71909,74240
Chisinau,MD.CV,40,5,44927,46013,46714,46906,46663,47722,49566,52394,55368,58718
Chisinau,MD.CV,45,5,41544,40682,40946,40924,40750,40834,42176,43615,44814,45442
Chisinau,MD.CV,50,5,44903,43262,40848,39269,38597,38276,37547,38415,38781,39400
Chisinau,MD.CV,55,5,43653,43866,44349,43929,42976,41600,40400,38373,37327,37061
Chisinau,MD.CV,60,5,38884,38924,38892,38741,39011,40119,40593,41512,41354,40852
Chisinau,MD.CV,65,5,20011,24292,28236,31183,33815,34338,34536,34727,34675,35320
Chisinau,MD.CV,70,5,17056,15836,14885,14009,14099,16730,20472,23721,25731,28046
Chisinau,MD.CV,75,+,23835,24407,24715,25935,26438,26145,25728,24867,23962,24053
Balti,MD.BT,999,.,101074,100392,100866,100143,99541,98983,98511,98521,96370,94557
Balti,MD.BT,0,5,6890,6918,7088,7233,7087,6836,6480,6133,5646,5321
Balti,MD.BT,5,5,5840,5972,6248,6375,6586,6671,6777,6901,7005,6734
Balti,MD.BT,10,5,4738,4868,4961,5160,5414,5600,5738,5998,6104,6229
Balti,MD.BT,15,5,7162,6165,5412,4691,4222,4264,4490,4653,4733,4932
Balti,MD.BT,20,5,7857,7667,7710,7454,7133,6382,5596,4956,4193,3561
Balti,MD.BT,25,5,9124,9114,9023,8586,8097,7717,7609,7614,7347,7024
Balti,MD.BT,30,5,8222,8387,8705,8869,9099,9143,9105,8940,8565,7993
Balti,MD.BT,35,5,6813,6968,7262,7388,7701,7994,8205,8481,8643,8700
Balti,MD.BT,40,5,6154,6207,6283,6339,6196,6392,6573,6852,6951,7247
Balti,MD.BT,45,5,5992,5819,5854,5748,5813,5741,5832,5916,5917,5746
Balti,MD.BT,50,5,7283,6935,6551,6209,5893,5685,5517,5606,5455,5499
Balti,MD.BT,55,5,7186,7191,7281,7227,7186,6935,6593,6214,5886,5560
Balti,MD.BT,60,5,6774,6659,6471,6462,6326,6582,6656,6815,6680,6640
Balti,MD.BT,65,5,3534,4247,5016,5385,5853,5850,5741,5543,5475,5353
Balti,MD.BT,70,5,3171,2928,2661,2590,2521,2873,3473,4037,4151,4507
Balti,MD.BT,75,+,4334,4347,4340,4427,4414,4318,4126,3862,3619,3511
Briceni,MD.BR,999,.,66494,65096,63811,61773,60297,58326,56611,55686,53782,52115
Briceni,MD.BR,0,5,3739,3559,3392,3227,3081,2899,2738,2556,2383,2189
Briceni,MD.BR,5,5,3764,3650,3625,3485,3363,3084,2877,2740,2613,2455
Briceni,MD.BR,10,5,3531,3435,3363,3311,3311,3252,3129,3104,2967,2823
Briceni,MD.BR,15,5,4236,3894,3604,3328,3138,2956,2900,2877,2786,2751
Briceni,MD.BR,20,5,4657,4380,4118,3703,3450,3173,2886,2748,2545,2362
Briceni,MD.BR,25,5,4981,4918,4674,4403,4062,3640,3357,3215,2952,2766
Briceni,MD.BR,30,5,4403,4370,4428,4364,4338,4218,4072,3902,3663,3386
Briceni,MD.BR,35,5,4098,4128,4097,3958,3942,3888,3840,3878,3890,3812
Briceni,MD.BR,40,5,4049,4030,4051,3869,3740,3669,3625,3660,3593,3590
Briceni,MD.BR,45,5,3922,3910,3919,3878,3862,3717,3653,3713,3552,3414
Briceni,MD.BR,50,5,5081,4705,4277,3995,3804,3716,3647,3696,3663,3653
Briceni,MD.BR,55,5,4692,4891,5108,5062,4978,4841,4433,4037,3779,3592
Briceni,MD.BR,60,5,4310,4102,4025,4065,4175,4329,4541,4748,4663,4560
Briceni,MD.BR,65,5,2579,2913,3364,3628,3858,3838,3670,3592,3626,3670
